ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving Day,Thanksgiving Day_lower,Thanksgiving Day_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,405.2092197090344,582.5205401824645,914.4953359082199,405.2092197090344,405.2092197090344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.64351077064266,-72.64351077064266,-72.64351077064266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.3577775579469,341.3577775579469,341.3577775579469,-72.64351077064266,-72.64351077064266,-72.64351077064266,28.400993783268067,28.400993783268067,28.400993783268067,151.09902358553177,151.09902358553177,151.09902358553177,234.50127095978974,234.50127095978974,234.50127095978974,0.0,0.0,0.0,746.5669972669814
2021-01-02,411.1359104867819,750.1457683624104,1063.25238210816,411.1359104867819,411.1359104867819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.6118838544769,496.6118838544769,496.6118838544769,0.0,0.0,0.0,55.52353358655196,55.52353358655196,55.52353358655196,210.1062970023676,210.1062970023676,210.1062970023676,230.98205326555734,230.98205326555734,230.98205326555734,0.0,0.0,0.0,907.7477943412588
2021-01-03,417.0626012645293,665.0631977513718,1003.1816477764601,417.0626012645293,417.0626012645293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.88830206679546,406.88830206679546,406.88830206679546,0.0,0.0,0.0,80.4340206025519,80.4340206025519,80.4340206025519,99.53715595036493,99.53715595036493,99.53715595036493,226.91712551387852,226.91712551387852,226.91712551387852,0.0,0.0,0.0,823.9509033313248
2021-01-04,422.98929204227676,534.9119159216809,845.6311485283676,422.98929204227676,422.98929204227676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.3825461472948,265.3825461472948,265.3825461472948,0.0,0.0,0.0,102.22167638379513,102.22167638379513,102.22167638379513,-59.30294445836847,-59.30294445836847,-59.30294445836847,222.46381422186818,222.46381422186818,222.46381422186818,0.0,0.0,0.0,688.3718381895716
2021-01-05,428.9159828200242,410.2114472281794,730.2557021351882,428.9159828200242,428.9159828200242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.72212819478372,135.72212819478372,135.72212819478372,0.0,0.0,0.0,120.79639286110613,120.79639286110613,120.79639286110613,-202.8628672413305,-202.8628672413305,-202.8628672413305,217.78860257500813,217.78860257500813,217.78860257500813,0.0,0.0,0.0,564.6381110148079
2021-01-06,434.84267359777164,429.1875102004953,764.2161689452345,434.84267359777164,434.84267359777164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.1001187831322,167.1001187831322,167.1001187831322,0.0,0.0,0.0,135.74216151433978,135.74216151433978,135.74216151433978,-181.70524634396378,-181.70524634396378,-181.70524634396378,213.0632036127562,213.0632036127562,213.0632036127562,0.0,0.0,0.0,601.9427923809038
2021-01-07,440.7693643755191,619.8622264567939,935.8552481616381,440.7693643755191,440.7693643755191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.7235553268886,336.7235553268886,336.7235553268886,0.0,0.0,0.0,145.13448571428086,145.13448571428086,145.13448571428086,-16.871418494258364,-16.871418494258364,-16.871418494258364,208.46048810686605,208.46048810686605,208.46048810686605,0.0,0.0,0.0,777.4929197024077
2021-01-08,446.6960551532665,783.2479168654356,1106.3231869775013,446.6960551532665,446.6960551532665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.3518957204051,501.3518957204051,501.3518957204051,0.0,0.0,0.0,146.1024962796477,146.1024962796477,146.1024962796477,151.0990235851079,151.0990235851079,151.0990235851079,204.15037585564937,204.15037585564937,204.15037585564937,0.0,0.0,0.0,948.0479508736717
2021-01-09,452.6227459310139,831.5060957660814,1151.5266750736814,452.6227459310139,452.6227459310139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.6204166825439,547.6204166825439,547.6204166825439,0.0,0.0,0.0,137.21831984118487,137.21831984118487,137.21831984118487,210.10629700234932,210.10629700234932,210.10629700234932,200.29579983900976,200.29579983900976,200.29579983900976,0.0,0.0,0.0,1000.2431626135578
2021-01-10,458.5494367087614,717.8903837433203,1039.1672039308808,458.5494367087614,458.5494367087614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.14751213345545,417.14751213345545,417.14751213345545,0.0,0.0,0.0,120.56150584675798,120.56150584675798,120.56150584675798,99.53715595025444,99.53715595025444,99.53715595025444,197.04885033644305,197.04885033644305,197.04885033644305,0.0,0.0,0.0,875.6969488422169
2021-01-11,464.4761274865088,539.7309094201149,852.9739424466935,464.4761274865088,464.4761274865088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.2452688393707,236.2452688393707,236.2452688393707,0.0,0.0,0.0,101.0010125134359,101.0010125134359,101.0010125134359,-59.30294445847825,-59.30294445847825,-59.30294445847825,194.5472007844131,194.5472007844131,194.5472007844131,0.0,0.0,0.0,700.7213963258795
2021-01-12,470.40281826425627,381.67876572627375,713.6263910181915,470.40281826425627,470.40281826425627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.63342583005364,72.63342583005364,72.63342583005364,0.0,0.0,0.0,82.58538406891194,82.58538406891194,82.58538406891194,-202.8628672413741,-202.8628672413741,-202.8628672413741,192.91090900251572,192.91090900251572,192.91090900251572,0.0,0.0,0.0,543.03624409431
2021-01-13,476.32950904200374,394.68959689763545,710.5682412544462,476.32950904200374,476.32950904200374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45826301919088,75.45826301919088,75.45826301919088,0.0,0.0,0.0,64.92383266940853,64.92383266940853,64.92383266940853,-181.70524634389855,-181.70524634389855,-181.70524634389855,192.23967669368082,192.23967669368082,192.23967669368082,0.0,0.0,0.0,551.7877720611946
2021-01-14,482.25619981975115,538.4446934634883,857.0550025630117,482.25619981975115,482.25619981975115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.8300432984513,218.8300432984513,218.8300432984513,0.0,0.0,0.0,43.0908246537331,43.0908246537331,43.0908246537331,-16.871418494101125,-16.871418494101125,-16.871418494101125,192.61063713881927,192.61063713881927,192.61063713881927,0.0,0.0,0.0,701.0862431182024
2021-01-15,488.18289059749856,686.9385343066812,1007.3444449644661,488.18289059749856,488.18289059749856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.039741870874,357.039741870874,357.039741870874,0.0,0.0,0.0,11.863992146207574,11.863992146207574,11.863992146207574,151.09902358519122,151.09902358519122,151.09902358519122,194.07672613947526,194.07672613947526,194.07672613947526,0.0,0.0,0.0,845.2226324683726
2021-01-16,494.1095813752461,708.3999562188569,1033.24796515091,494.1095813752461,494.1095813752461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.9544375691575,377.9544375691575,377.9544375691575,0.0,0.0,0.0,-28.81753437829105,-28.81753437829105,-28.81753437829105,210.1062970023106,210.1062970023106,210.1062970023106,196.6656749451379,196.6656749451379,196.6656749451379,0.0,0.0,0.0,872.0640189444036
2021-01-17,500.0362721529935,555.9282343169261,876.8847557101379,500.0362721529935,500.0362721529935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.07995830498936,228.07995830498936,228.07995830498936,0.0,0.0,0.0,-71.83684425094981,-71.83684425094981,-71.83684425094981,99.53715595014395,99.53715595014395,99.53715595014395,200.3796466057952,200.3796466057952,200.3796466057952,0.0,0.0,0.0,728.1162304579829
2021-01-18,505.96296293074096,440.17775441526527,748.2281363714997,505.96296293074096,505.96296293074096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.448262203678354,50.448262203678354,50.448262203678354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.84955685529913,89.84955685529913,89.84955685529913,50.448262203678354,50.448262203678354,50.448262203678354,-106.49128030127366,-106.49128030127366,-106.49128030127366,-59.302944458611634,-59.302944458611634,-59.302944458611634,205.19551941150607,205.19551941150607,205.19551941150607,0.0,0.0,0.0,595.8125197860401
